"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"WA007401540","WINDHOEK, WA","2000-01-01","0.00","70","82","63"
"WA007401540","WINDHOEK, WA","2000-01-02","0.00","71","84","63"
"WA007401540","WINDHOEK, WA","2000-01-03","0.00","74","87","64"
"WA007401540","WINDHOEK, WA","2000-01-04","0.00","76","90","64"
"WA007401540","WINDHOEK, WA","2000-01-05","0.59","67","79","67"
"WA007401540","WINDHOEK, WA","2000-01-06","0.00","70","81","62"
"WA007401540","WINDHOEK, WA","2000-01-07","0.00","74","80","63"
"WA007401540","WINDHOEK, WA","2000-01-08","0.08","69","80","68"
"WA007401540","WINDHOEK, WA","2000-01-09","0.00","73","84","63"
"WA007401540","WINDHOEK, WA","2000-01-10","0.00","73","87","56"
"WA007401540","WINDHOEK, WA","2000-01-11","0.16","71","85","68"
"WA007401540","WINDHOEK, WA","2000-01-12","0.00","73","84","67"
"WA007401540","WINDHOEK, WA","2000-01-13","0.00","70","83","65"
"WA007401540","WINDHOEK, WA","2000-01-14","0.04","74","87","63"
"WA007401540","WINDHOEK, WA","2000-01-15","0.00","73","88","61"
"WA007401540","WINDHOEK, WA","2000-01-16","0.00","72","84","60"
"WA007401540","WINDHOEK, WA","2000-01-17","0.00","73","84","64"
"WA007401540","WINDHOEK, WA","2000-01-18","0.04","74","86","60"
"WA007401540","WINDHOEK, WA","2000-01-19","0.16","68","85","58"
"WA007401540","WINDHOEK, WA","2000-01-20","0.00","69","81","61"
"WA007401540","WINDHOEK, WA","2000-01-21","0.16","69","82","63"
"WA007401540","WINDHOEK, WA","2000-01-22","0.00","66","76","60"
"WA007401540","WINDHOEK, WA","2000-01-23","0.35","66","79","63"
"WA007401540","WINDHOEK, WA","2000-01-24","0.08","69","82","60"
"WA007401540","WINDHOEK, WA","2000-01-25","0.24","71","85","60"
"WA007401540","WINDHOEK, WA","2000-01-26","0.00","73","85","63"
"WA007401540","WINDHOEK, WA","2000-01-27","0.00","74","85","65"
"WA007401540","WINDHOEK, WA","2000-01-28","0.00","70","85","62"
"WA007401540","WINDHOEK, WA","2000-01-29","0.00","72","86","58"
"WA007401540","WINDHOEK, WA","2000-01-30","0.00","74","88",
"WA007401540","WINDHOEK, WA","2000-01-31","0.00","78","92",
"WA007401540","WINDHOEK, WA","2000-02-01","0.00","79","92","63"
"WA007401540","WINDHOEK, WA","2000-02-02","0.00","78","93","63"
"WA007401540","WINDHOEK, WA","2000-02-03","0.00","80","92","64"
"WA007401540","WINDHOEK, WA","2000-02-04","0.00","80","94","64"
"WA007401540","WINDHOEK, WA","2000-02-05","0.31","74","92","67"
"WA007401540","WINDHOEK, WA","2000-02-06","0.12","72","85","62"
"WA007401540","WINDHOEK, WA","2000-02-07","0.00","82","90","63"
"WA007401540","WINDHOEK, WA","2000-02-08","0.00","78","90","68"
"WA007401540","WINDHOEK, WA","2000-02-09","0.00","78","91","63"
"WA007401540","WINDHOEK, WA","2000-02-10","0.00","78","90","56"
"WA007401540","WINDHOEK, WA","2000-02-11","0.00","78","91","68"
"WA007401540","WINDHOEK, WA","2000-02-12","0.08","75","91","67"
"WA007401540","WINDHOEK, WA","2000-02-13","0.00","69","56","65"
"WA007401540","WINDHOEK, WA","2000-02-14","2.09","66","80","63"
"WA007401540","WINDHOEK, WA","2000-02-15","0.00","71","80","61"
"WA007401540","WINDHOEK, WA","2000-02-16","0.00","71","80","60"
"WA007401540","WINDHOEK, WA","2000-02-17","1.81","67","78","64"
"WA007401540","WINDHOEK, WA","2000-02-18","0.00","65","71","60"
"WA007401540","WINDHOEK, WA","2000-02-19","0.04","63","69","58"
"WA007401540","WINDHOEK, WA","2000-02-20","0.00","66","72","61"
"WA007401540","WINDHOEK, WA","2000-02-21","0.35","66","76","63"
"WA007401540","WINDHOEK, WA","2000-02-22","0.24","67","79","60"
"WA007401540","WINDHOEK, WA","2000-02-23","0.16","69","80","63"
"WA007401540","WINDHOEK, WA","2000-02-24","0.00","71","81","60"
"WA007401540","WINDHOEK, WA","2000-02-25","0.00","72","82","60"
"WA007401540","WINDHOEK, WA","2000-02-26","0.00","70","78","63"
"WA007401540","WINDHOEK, WA","2000-02-27","0.43","68","77","65"
"WA007401540","WINDHOEK, WA","2000-02-28","2.09","62","67","62"
"WA007401540","WINDHOEK, WA","2000-02-29","0.20","59","62","58"
"WA007401540","WINDHOEK, WA","2000-03-01","0.00","65","78","58"
"WA007401540","WINDHOEK, WA","2000-03-02","0.00","65","80","51"
"WA007401540","WINDHOEK, WA","2000-03-03","0.00","69","80","59"
"WA007401540","WINDHOEK, WA","2000-03-04","0.00","71","85","59"
"WA007401540","WINDHOEK, WA","2000-03-05","0.00","72","83","62"
"WA007401540","WINDHOEK, WA","2000-03-06","1.10","69","83","63"
"WA007401540","WINDHOEK, WA","2000-03-07","0.00","72","82","60"
"WA007401540","WINDHOEK, WA","2000-03-08","0.00","74","83","63"
"WA007401540","WINDHOEK, WA","2000-03-09","0.00","72","82","61"
"WA007401540","WINDHOEK, WA","2000-03-10","0.00","71","83","58"
"WA007401540","WINDHOEK, WA","2000-03-11","0.00","73","84","62"
"WA007401540","WINDHOEK, WA","2000-03-12","0.20","70","83","60"
"WA007401540","WINDHOEK, WA","2000-03-13","0.00","71","84","60"
"WA007401540","WINDHOEK, WA","2000-03-14","0.00","71","85","59"
"WA007401540","WINDHOEK, WA","2000-03-15","0.00","71","84","62"
"WA007401540","WINDHOEK, WA","2000-03-16","0.00","68","82","58"
"WA007401540","WINDHOEK, WA","2000-03-17","0.00","69","82","54"
"WA007401540","WINDHOEK, WA","2000-03-18","0.00","71","84","59"
"WA007401540","WINDHOEK, WA","2000-03-19","0.00","72","84","59"
"WA007401540","WINDHOEK, WA","2000-03-20","0.00","73","84","63"
"WA007401540","WINDHOEK, WA","2000-03-21","0.00","71","81","61"
"WA007401540","WINDHOEK, WA","2000-03-22","0.20","64","73","62"
"WA007401540","WINDHOEK, WA","2000-03-23","0.94","67","76","61"
"WA007401540","WINDHOEK, WA","2000-03-24","0.00","68","79","63"
"WA007401540","WINDHOEK, WA","2000-03-25","0.71","65","73","59"
"WA007401540","WINDHOEK, WA","2000-03-26","0.28","66","77","61"
"WA007401540","WINDHOEK, WA","2000-03-27","1.93","63","74","59"
"WA007401540","WINDHOEK, WA","2000-03-28","0.12","68","78","62"
"WA007401540","WINDHOEK, WA","2000-03-29","0.00","67","80","61"
"WA007401540","WINDHOEK, WA","2000-03-30","0.24","68","81","60"
"WA007401540","WINDHOEK, WA","2000-03-31","0.35","71","82","58"
"WA007401540","WINDHOEK, WA","2000-04-01","0.75","69","80","62"
"WA007401540","WINDHOEK, WA","2000-04-02","0.04","67","76","62"
"WA007401540","WINDHOEK, WA","2000-04-03","0.12","67","81","59"
"WA007401540","WINDHOEK, WA","2000-04-04","0.00","68","79","59"
"WA007401540","WINDHOEK, WA","2000-04-05","0.00","64","78","50"
"WA007401540","WINDHOEK, WA","2000-04-06","0.00","66","79","53"
"WA007401540","WINDHOEK, WA","2000-04-07","0.00","66","80","56"
"WA007401540","WINDHOEK, WA","2000-04-08","0.00","66","78","55"
"WA007401540","WINDHOEK, WA","2000-04-09","0.00","67","79","54"
